roi_ids_rem,degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg
195,5.439520680366982,97.77777777777777,29.713021781709458,29.77051031422732,29.736441559309956,0.05218938904421423,0.003514955880871155
196,4.615659468885829,103.33333333333333,33.06181075837877,30.435396189551195,30.11571523758522,0.04138113030825681,0.0040277597846583475
197,2.2333091727533114,69.3529411764706,27.60472191704644,29.878773083122525,29.697753860689733,0.028625795433594253,0.003676893955751321
198,11.64875038494187,140.27777777777777,29.52646123038398,28.981790412320137,29.286892007028953,0.0794533570309476,0.002652185804148494
199,9.881171461706389,141.27777777777777,27.66626493136088,29.754804402575033,29.76271718895395,0.06387378743673212,0.003098415166040506
200,8.23511915484098,139.05555555555554,33.08559740914239,30.1174193890192,29.793792922896575,0.05820307690186726,0.003537447280160066
201,4.014270785497932,102.5,27.220214472876656,29.31940527718646,29.450009460693984,0.036047027075838074,0.00427966345669416
203,0.7785726535049056,40.5,30.776966200934517,28.72943155266968,28.226820653625914,0.019274166533371558,0.0009392408343049617
204,7.972512976633017,133.88888888888889,32.548937956492104,29.476436817068425,29.49616397247319,0.054187496274930295,0.0029355774351887843
205,6.570087879828344,112.11111111111111,31.255119376712376,29.22339829195411,29.490711058874826,0.05279332238781795,0.003831634782859035
206,6.655816751541117,124.33333333333333,27.056572993596394,29.29657309275614,29.568600773131216,0.0505100061444307,0.0035482431518187446
207,4.623626834165848,105.27777777777777,27.226707564459907,29.399724360112234,29.421320215298483,0.03747489809707549,0.004106929510155316
208,8.691260865563784,141.16666666666666,30.714656511942547,29.28275462093391,29.369271138008465,0.05688141044352705,0.0032900418879820356
209,12.112414890920695,143.33333333333334,26.069939215977985,28.942777089334584,29.36478023136576,0.08137242164175082,0.0024236731873731486
210,12.590701073415396,153.22222222222223,24.30167712105645,29.648073493754744,29.66778187752978,0.07800373739843285,0.002218551625858272
211,1.9132143721856347,65.38461538461539,25.70305135515001,29.842291087917086,30.008331520473355,0.025345131354371584,0.002939652347530539
213,2.9017029141324837,87.61111111111111,32.725771215226914,30.19840811211664,29.904032733750952,0.03080652808901527,0.005090253487066546
214,5.619743103476582,118.11111111111111,31.829773267110188,30.037351153229817,29.788384424722878,0.04294069980115852,0.003683191547552215
215,8.4771299497436,143.33333333333334,24.704286363389755,29.38194735651024,29.478827529139494,0.056753874203772314,0.003948590059161376
217,6.741139374069316,122.83333333333333,34.16835615370009,29.674013189514856,29.520630848668233,0.04697027737124908,0.0029724633300225994
218,7.313324845382916,126.72222222222223,28.55149687661065,29.754741964062006,29.646081160837095,0.05577380418724988,0.003930596939730247
220,7.9887538732020005,132.44444444444446,31.212382634480793,29.380418770629408,29.512794920966158,0.053777087783661276,0.0032747477364655758
221,5.6512792023073315,115.55555555555556,26.59134027693007,29.510740252322762,29.551231840377195,0.042858945851848705,0.003400699572483482
226,10.295109779161253,146.22222222222223,28.094550450642902,29.451366342389406,29.634242298207614,0.0669102005803627,0.002457860114292295
227,5.417715249733686,111.88888888888889,29.802994940016006,30.095224647590246,29.847632946827034,0.04407410978119733,0.004354334902333348
228,3.597431173189191,98.72222222222223,22.59732066260444,29.585064075681505,29.555064742715825,0.03229090628015338,0.004162708180391819
229,1.4290082364364816,61.083333333333336,24.5257125960456,28.233086867906223,28.294394922605544,0.0226986800534572,0.003206373882627283
232,7.056703206304311,137.0,23.742168214586044,29.462060015716784,29.453911986139946,0.04834561728236068,0.003399799916511926
233,4.040011945918873,92.22222222222223,28.771322356330025,30.500772182402297,29.98551268462741,0.041263796175871253,0.0033782081731945704
234,15.190270515260242,166.33333333333334,34.35782792833116,30.034870980952746,29.65112640539873,0.08623865286787895,0.002423355661736129
235,10.687432440816098,140.66666666666666,26.194726520114475,29.695122208611604,29.68446745857646,0.07310884344330114,0.0026215975011155738
236,8.130843366910975,136.61111111111111,29.216153118345474,29.63927278551772,29.545451002665843,0.0545497569278828,0.0028878956686962903
237,8.816929227933077,134.38888888888889,27.827391968833076,29.240164043846587,29.509748330929394,0.05886133069033598,0.0026278950929164687
239,6.6003611332374605,114.16666666666667,28.504311031765408,29.197321621801223,29.417638288918642,0.053972300884290975,0.0029895567934821723
240,5.860668142977401,120.5,31.548667165968155,29.635543396622424,29.516425300666313,0.04412822512394221,0.0033386233104460857
241,6.756096759839387,123.83333333333333,27.61008209652371,29.11452070932265,29.33100788823726,0.0522945153798397,0.003372810237365231
242,6.263733560207376,109.44444444444444,32.91365199618869,30.374673723235333,29.941172138918773,0.05453952271835624,0.003146996588504556
