ROI,CN_Ab.neg,CN_Ab.pos,MCI_Ab.neg,MCI_Ab.pos,Dementia_Ab.neg,Dementia_Ab.pos
r25,0.8558627906976743,1.0999372093023256,0.8421582278481011,1.2215463157894735,0.8251000000000001,1.2941199999999997
rs32,1.0419133720930231,1.370472093023256,1.0257645569620257,1.5110126315789467,1.0562571428571428,1.600994
rpOFC,0.963964534883721,1.1514085271317829,0.9442734177215188,1.2562768421052632,0.9064571428571429,1.34454
rPoI1,0.9628500000000001,1.1194147286821705,0.936818987341772,1.178561052631579,0.9037285714285714,1.2176239999999998
rIg,1.0331546511627907,1.2208193798449614,1.0252911392405066,1.3078663157894739,1.0252000000000001,1.378358
rFOP5,1.2998779069767443,1.5611496124031006,1.271759493670886,1.634223157894737,1.294757142857143,1.6806419999999997
rp10p,1.0974377906976744,1.4544480620155038,1.0750481012658226,1.6156189473684213,1.1303571428571428,1.713738
rp47r,1.0347139534883723,1.3460798449612403,1.0108025316455695,1.4750452631578947,1.0747285714285713,1.549846
rTGv,0.8497470930232558,0.981501550387597,0.8259582278481012,1.0731136842105264,0.7955428571428572,1.127862
rMBelt,1.0810895348837208,1.2660829457364342,1.047848101265823,1.3484399999999999,1.0813857142857144,1.394208
rLBelt,1.0241970930232558,1.214575968992248,0.989967088607595,1.3118778947368421,1.0086428571428572,1.372792
rA4,0.8125377906976745,1.0257511627906977,0.7870417721518989,1.122601052631579,0.8147714285714286,1.207564
rSTSva,1.0692558139534885,1.3330271317829459,1.0509493670886076,1.4268021052631579,1.0762142857142858,1.5060419999999999
rTE1m,0.9537412790697674,1.2100511627906978,0.9562354430379748,1.3190105263157896,0.9963714285714286,1.4196460000000002
rPI,1.06328488372093,1.2242263565891471,1.0279886075949365,1.271181052631579,1.027557142857143,1.305262
ra32pr,1.2019302325581396,1.5177457364341085,1.159432911392405,1.6345294736842104,1.154742857142857,1.70817
rp24,0.962125,1.3000565891472866,0.9264430379746836,1.403173684210526,0.9830428571428571,1.498086
lV1,1.0192732558139534,1.1991472868217055,0.9978898734177214,1.256556842105263,1.001542857142857,1.33958
lMST,1.2272505813953487,1.521906976744186,1.2014278481012657,1.5856505263157896,1.200457142857143,1.711336
lV6,1.1649970930232558,1.3646503875968992,1.1165759493670886,1.3853178947368419,1.1386857142857143,1.4730460000000003
lV2,1.0009563953488374,1.1683891472868217,0.9889734177215194,1.20658,0.986742857142857,1.269344
lV3,1.040388953488372,1.1986961240310077,1.0226468354430378,1.2209989473684213,1.0041,1.2774740000000002
lV4,1.1241883720930235,1.318122480620155,1.1089632911392406,1.3468284210526318,1.1438428571428574,1.4161339999999998
lV8,1.063070930232558,1.259118604651163,1.0589367088607595,1.3236252631578946,1.0654428571428571,1.3987900000000002
l4,1.0622011627906978,1.2158248062015506,1.033173417721519,1.26078,1.0026571428571427,1.306188
l3b,0.9987604651162793,1.157806976744186,0.9620405063291139,1.2135473684210525,0.9748428571428571,1.273002
lFEF,1.0893244186046511,1.3108643410852712,1.0553531645569623,1.38566,1.0886,1.4633600000000002
lPEF,1.1289715116279069,1.3668658914728682,1.0753379746835445,1.4113189473684213,1.1229571428571428,1.488662
l55b,0.9126046511627908,1.1337767441860467,0.8976797468354432,1.2019684210526316,0.8459000000000001,1.281638
lV3A,1.080928488372093,1.233291472868217,1.0620886075949367,1.2589284210526317,0.9956142857142858,1.2998779999999999
lRSC,1.0990505813953488,1.3352178294573644,1.0789265822784808,1.3938536842105262,1.044557142857143,1.437498
lPOS2,1.0716866279069768,1.3730286821705426,1.0260443037974682,1.500061052631579,0.9674714285714285,1.6258339999999998
lV7,1.076481976744186,1.2782077519379844,1.0450240506329114,1.3221094736842105,1.0161714285714285,1.42005
lIPS1,1.1424279069767442,1.419784496124031,1.1209405063291138,1.5035726315789477,1.0562285714285715,1.6494419999999999
lFFC,0.9801162790697674,1.2154131782945736,0.9706594936708863,1.3057821052631575,0.9554857142857143,1.4021680000000003
lV3B,1.293235465116279,1.5063767441860465,1.2676417721518987,1.5520894736842108,1.2371142857142858,1.6482240000000001
lLO1,1.061329069767442,1.29325503875969,1.0463772151898734,1.3177010526315787,1.0591714285714287,1.4854820000000002
lLO2,0.962082558139535,1.2143488372093023,0.9741455696202531,1.293458947368421,1.0161285714285715,1.3970979999999997
lPIT,0.9944238372093022,1.2241906976744183,1.0129886075949368,1.260201052631579,0.9308428571428572,1.370814
lMT,1.1132744186046513,1.4060248062015506,1.0830481012658228,1.4710189473684208,1.1154000000000002,1.6071739999999999
lA1,0.9790930232558138,1.1698186046511625,0.9486949367088607,1.2410284210526317,0.9874857142857143,1.3043620000000002
lPSL,0.9826825581395351,1.2749162790697675,0.9490810126582281,1.3611736842105262,0.9882,1.466568
lSFL,0.8025837209302326,1.0436488372093022,0.776898734177215,1.1809663157894736,0.8195857142857143,1.256134
lPCV,0.9820424418604652,1.3239248062015503,0.9582227848101267,1.500681052631579,0.9529428571428571,1.6273620000000002
lSTV,0.9189430232558139,1.2142829457364341,0.8981101265822784,1.3029747368421052,0.9067857142857143,1.4436119999999997
l7Pm,0.9634017441860464,1.2870697674418605,0.9331632911392405,1.4378136842105262,0.8879857142857143,1.5727859999999998
l7m,1.0135598837209303,1.3740542635658914,0.9830987341772155,1.5355431578947372,0.9565142857142858,1.67559
lPOS1,1.0431581395348837,1.3038007751937986,1.0236493670886078,1.3900231578947368,0.9747857142857143,1.4844739999999996
l23d,0.9577889534883722,1.2881651162790697,0.9346544303797466,1.4313126315789473,0.8743428571428572,1.5350599999999996
lv23ab,0.985129069767442,1.2850806201550387,0.9684784810126579,1.4215084210526314,0.9504999999999999,1.5268819999999999
ld23ab,1.0087377906976744,1.3632023255813952,0.9887025316455696,1.517578947368421,0.9784571428571428,1.6269320000000003
l31pv,1.144818023255814,1.5127046511627906,1.1131101265822787,1.6618115789473682,1.1144428571428573,1.76579
l5m,0.9668017441860465,1.1529007751937985,0.9313354430379746,1.2349305263157897,0.9339285714285713,1.3529180000000003
l5mv,1.2956203488372093,1.5577217054263566,1.2533037974683543,1.6077442105263158,1.2579714285714285,1.710924
l23c,1.1277767441860465,1.4500031007751935,1.1067632911392407,1.5410484210526314,1.1402571428571429,1.6608599999999998
l5L,0.8806970930232557,1.089191472868217,0.8376417721518988,1.187015789473684,0.8304428571428571,1.303502
l24dd,1.17605,1.3965224806201553,1.1606253164556963,1.4644157894736844,1.1258428571428571,1.541484
l24dv,1.2318982558139535,1.474732558139535,1.2250949367088608,1.5599726315789473,1.2286142857142859,1.646248
l7AL,0.9133279069767442,1.1714170542635658,0.8774974683544303,1.2950747368421054,0.8826714285714286,1.4035579999999996
lSCEF,1.0202738372093023,1.24895503875969,1.0021265822784813,1.375663157894737,0.9977000000000001,1.4324840000000003
